,date,Champion,weeks,event,season,attack,defense,difficulty,magic,main_role,partype,secondary_role,wait_rank_by_role,freqs,prob
33,2013-09-24 00:00:00,Aatrox,1.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,30.0,2.0,0.0
34,2013-10-01 00:00:00,Aatrox,2.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,29.0,2.0,0.0
35,2013-10-08 00:00:00,Aatrox,3.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,27.0,2.0,0.0
36,2013-10-15 00:00:00,Aatrox,4.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,25.0,2.0,0.0
37,2013-10-22 00:00:00,Aatrox,5.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,23.0,2.0,0.0
38,2013-10-29 00:00:00,Aatrox,6.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,22.0,2.0,0.0
39,2013-11-05 00:00:00,Aatrox,7.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,21.0,2.0,0.0
40,2013-11-12 00:00:00,Aatrox,8.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,17.0,2.0,0.0
41,2013-11-19 00:00:00,Aatrox,9.0,0.0,Season 3,8,4,4,3,Fighter,BloodWell,Tank,14.0,2.0,0.0
42,2013-11-26 00:00:00,Aatrox,10.0,0.0,Preseason 4,8,4,4,3,Fighter,BloodWell,Tank,11.5,2.0,0.0
43,2013-12-03 00:00:00,Aatrox,11.0,1.0,Preseason 4,8,4,4,3,Fighter,BloodWell,Tank,8.0,3.0,0.7
44,2013-12-10 00:00:00,Aatrox,1.0,0.0,Preseason 4,8,4,4,3,Fighter,BloodWell,Tank,30.5,3.0,0.0
45,2013-12-17 00:00:00,Aatrox,2.0,0.0,Preseason 4,8,4,4,3,Fighter,BloodWell,Tank,29.5,3.0,0.0
46,2013-12-24 00:00:00,Aatrox,3.0,0.0,Preseason 4,8,4,4,3,Fighter,BloodWell,Tank,27.5,3.0,0.0
47,2013-12-31 00:00:00,Aatrox,4.0,0.0,Preseason 4,8,4,4,3,Fighter,BloodWell,Tank,26.5,3.0,0.0
48,2014-01-07 00:00:00,Aatrox,5.0,0.0,Preseason 4,8,4,4,3,Fighter,BloodWell,Tank,23.5,3.0,0.0
49,2014-01-14 00:00:00,Aatrox,6.0,0.0,Preseason 4,8,4,4,3,Fighter,BloodWell,Tank,21.5,3.0,0.0
50,2014-01-21 00:00:00,Aatrox,7.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,20.5,3.0,0.0
51,2014-01-28 00:00:00,Aatrox,8.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,16.5,3.0,0.0
52,2014-02-04 00:00:00,Aatrox,9.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,12.5,3.0,0.1
53,2014-02-11 00:00:00,Aatrox,10.0,1.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,12.5,4.0,0.9
54,2014-02-18 00:00:00,Aatrox,1.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,30.5,4.0,0.0
55,2014-02-25 00:00:00,Aatrox,2.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,29.5,4.0,0.0
56,2014-03-04 00:00:00,Aatrox,3.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,26.5,4.0,0.0
57,2014-03-11 00:00:00,Aatrox,4.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,24.5,4.0,0.0
58,2014-03-18 00:00:00,Aatrox,5.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,21.5,4.0,0.0
59,2014-03-25 00:00:00,Aatrox,6.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,19.5,4.0,0.0
60,2014-04-01 00:00:00,Aatrox,7.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,17.5,4.0,0.0
61,2014-04-08 00:00:00,Aatrox,8.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,14.5,4.0,0.0
62,2014-04-15 00:00:00,Aatrox,9.0,1.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,12.5,5.0,0.6
63,2014-04-22 00:00:00,Aatrox,1.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,31.0,5.0,0.0
64,2014-04-29 00:00:00,Aatrox,2.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,29.0,5.0,0.0
65,2014-05-06 00:00:00,Aatrox,3.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,28.0,5.0,0.0
66,2014-05-13 00:00:00,Aatrox,4.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,26.0,5.0,0.0
67,2014-05-20 00:00:00,Aatrox,5.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,25.0,5.0,0.0
68,2014-05-27 00:00:00,Aatrox,6.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,22.0,5.0,0.0
69,2014-06-01 00:00:00,Aatrox,6.714285714285714,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,19.5,5.0,0.0
70,2014-06-08 00:00:00,Aatrox,7.714285714285714,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,15.5,5.0,0.0
71,2014-06-15 00:00:00,Aatrox,8.714285714285714,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,13.5,5.0,0.2
72,2014-06-22 00:00:00,Aatrox,9.714285714285714,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,10.5,5.0,0.1
73,2014-06-29 00:00:00,Aatrox,10.714285714285714,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,7.5,5.0,0.2
74,2014-07-06 00:00:00,Aatrox,11.714285714285714,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,4.5,5.0,0.2
75,2014-07-13 00:00:00,Aatrox,12.714285714285714,1.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,4.0,6.0,0.8
76,2014-07-20 00:00:00,Aatrox,1.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,32.0,6.0,0.0
77,2014-07-27 00:00:00,Aatrox,2.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,27.0,6.0,0.0
78,2014-08-03 00:00:00,Aatrox,3.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,27.0,6.0,0.0
79,2014-08-10 00:00:00,Aatrox,4.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,24.0,6.0,0.0
80,2014-08-17 00:00:00,Aatrox,5.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,23.0,6.0,0.0
81,2014-08-24 00:00:00,Aatrox,6.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,21.0,6.0,0.0
82,2014-09-01 00:00:00,Aatrox,7.142857142857143,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,18.0,6.0,0.0
83,2014-09-08 00:00:00,Aatrox,8.142857142857142,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,16.0,6.0,0.4
84,2014-09-15 00:00:00,Aatrox,9.142857142857142,1.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,15.0,7.0,0.7
85,2014-09-22 00:00:00,Aatrox,1.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,32.0,7.0,0.0
86,2014-09-29 00:00:00,Aatrox,2.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,30.0,7.0,0.0
87,2014-10-06 00:00:00,Aatrox,3.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,27.0,7.0,0.0
88,2014-10-13 00:00:00,Aatrox,4.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,22.0,7.0,0.0
89,2014-10-20 00:00:00,Aatrox,5.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,19.0,7.0,0.0
90,2014-10-27 00:00:00,Aatrox,6.0,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,18.0,7.0,0.0
91,2014-11-04 00:00:00,Aatrox,7.142857142857143,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,17.5,7.0,0.1
92,2014-11-11 00:00:00,Aatrox,8.142857142857142,0.0,Season 4,8,4,4,3,Fighter,BloodWell,Tank,14.5,7.0,0.3
93,2014-11-18 00:00:00,Aatrox,9.142857142857142,0.0,Preseason 5,8,4,4,3,Fighter,BloodWell,Tank,12.5,7.0,0.3
94,2014-11-25 00:00:00,Aatrox,10.142857142857142,0.0,Preseason 5,8,4,4,3,Fighter,BloodWell,Tank,8.5,7.0,0.1
95,2014-12-02 00:00:00,Aatrox,11.142857142857142,1.0,Preseason 5,8,4,4,3,Fighter,BloodWell,Tank,8.5,8.0,0.7
96,2014-12-09 00:00:00,Aatrox,1.0,0.0,Preseason 5,8,4,4,3,Fighter,BloodWell,Tank,33.5,8.0,0.0
97,2014-12-16 00:00:00,Aatrox,2.0,0.0,Preseason 5,8,4,4,3,Fighter,BloodWell,Tank,30.5,8.0,0.0
98,2014-12-23 00:00:00,Aatrox,3.0,0.0,Preseason 5,8,4,4,3,Fighter,BloodWell,Tank,28.5,8.0,0.0
99,2014-12-30 00:00:00,Aatrox,4.0,0.0,Preseason 5,8,4,4,3,Fighter,BloodWell,Tank,25.5,8.0,0.0
100,2015-01-06 00:00:00,Aatrox,5.0,0.0,Preseason 5,8,4,4,3,Fighter,BloodWell,Tank,25.5,8.0,0.0
101,2015-01-13 00:00:00,Aatrox,6.0,0.0,Preseason 5,8,4,4,3,Fighter,BloodWell,Tank,23.5,8.0,0.0
102,2013-02-05 00:00:00,Ahri,-1.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,14.5,0.0,0.0
103,2013-02-12 00:00:00,Ahri,-1.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,16.0,0.0,0.0
104,2013-02-19 00:00:00,Ahri,-1.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,16.5,0.0,0.0
105,2013-02-26 00:00:00,Ahri,-1.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,17.5,0.0,0.0
106,2013-03-05 00:00:00,Ahri,-1.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,18.5,0.0,0.0
107,2013-03-12 00:00:00,Ahri,-1.0,1.0,Season 3,3,4,5,8,Mage,Mana,Assassin,19.5,1.0,0.8
108,2013-03-19 00:00:00,Ahri,1.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,12.5,1.0,0.0
109,2013-03-26 00:00:00,Ahri,2.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,12.5,1.0,0.0
110,2013-04-02 00:00:00,Ahri,3.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,11.5,1.0,0.0
111,2013-04-09 00:00:00,Ahri,4.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,11.5,1.0,0.0
112,2013-04-16 00:00:00,Ahri,5.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,10.5,1.0,0.0
113,2013-04-23 00:00:00,Ahri,6.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,7.5,1.0,0.1
114,2013-04-30 00:00:00,Ahri,7.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,5.5,1.0,0.0
115,2013-05-07 00:00:00,Ahri,8.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,4.5,1.0,0.0
116,2013-05-14 00:00:00,Ahri,9.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,4.5,1.0,0.0
117,2013-05-21 00:00:00,Ahri,10.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,4.5,1.0,0.0
118,2013-05-28 00:00:00,Ahri,11.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,4.5,1.0,0.0
119,2013-06-04 00:00:00,Ahri,12.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,3.5,1.0,0.0
120,2013-06-11 00:00:00,Ahri,13.0,1.0,Season 3,3,4,5,8,Mage,Mana,Assassin,2.5,2.0,0.8
121,2013-06-18 00:00:00,Ahri,1.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,25.5,2.0,0.0
122,2013-06-25 00:00:00,Ahri,2.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,23.5,2.0,0.0
123,2013-07-02 00:00:00,Ahri,3.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,19.5,2.0,0.0
124,2013-07-09 00:00:00,Ahri,4.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,16.5,2.0,0.0
125,2013-07-16 00:00:00,Ahri,5.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,15.5,2.0,0.0
126,2013-07-23 00:00:00,Ahri,6.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,13.5,2.0,0.0
127,2013-07-30 00:00:00,Ahri,7.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,12.5,2.0,0.0
128,2013-08-06 00:00:00,Ahri,8.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,10.5,2.0,0.0
129,2013-08-13 00:00:00,Ahri,9.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,8.5,2.0,0.1
130,2013-08-20 00:00:00,Ahri,10.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,7.5,2.0,0.0
131,2013-08-27 00:00:00,Ahri,11.0,1.0,Season 3,3,4,5,8,Mage,Mana,Assassin,6.0,3.0,0.7
132,2013-09-03 00:00:00,Ahri,1.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,25.0,3.0,0.0
133,2013-09-10 00:00:00,Ahri,2.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,25.0,3.0,0.0
134,2013-09-17 00:00:00,Ahri,3.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,22.0,3.0,0.0
135,2013-09-24 00:00:00,Ahri,4.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,20.0,3.0,0.0
136,2013-10-01 00:00:00,Ahri,5.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,19.0,3.0,0.0
137,2013-10-08 00:00:00,Ahri,6.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,14.0,3.0,0.0
138,2013-10-15 00:00:00,Ahri,7.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,13.0,3.0,0.0
139,2013-10-22 00:00:00,Ahri,8.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,12.0,3.0,0.0
140,2013-10-29 00:00:00,Ahri,9.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,10.5,3.0,0.2
141,2013-11-05 00:00:00,Ahri,10.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,8.5,3.0,0.1
142,2013-11-12 00:00:00,Ahri,11.0,0.0,Season 3,3,4,5,8,Mage,Mana,Assassin,6.5,3.0,0.2
143,2013-11-19 00:00:00,Ahri,12.0,1.0,Season 3,3,4,5,8,Mage,Mana,Assassin,4.5,4.0,0.8
144,2013-11-26 00:00:00,Ahri,1.0,0.0,Preseason 4,3,4,5,8,Mage,Mana,Assassin,25.0,4.0,0.0
145,2013-12-03 00:00:00,Ahri,2.0,0.0,Preseason 4,3,4,5,8,Mage,Mana,Assassin,23.0,4.0,0.0
146,2013-12-10 00:00:00,Ahri,3.0,0.0,Preseason 4,3,4,5,8,Mage,Mana,Assassin,21.0,4.0,0.0
147,2013-12-17 00:00:00,Ahri,4.0,0.0,Preseason 4,3,4,5,8,Mage,Mana,Assassin,18.0,4.0,0.0
148,2013-12-24 00:00:00,Ahri,5.0,0.0,Preseason 4,3,4,5,8,Mage,Mana,Assassin,15.0,4.0,0.0
149,2013-12-31 00:00:00,Ahri,6.0,0.0,Preseason 4,3,4,5,8,Mage,Mana,Assassin,13.0,4.0,0.0
150,2014-01-07 00:00:00,Ahri,7.0,0.0,Preseason 4,3,4,5,8,Mage,Mana,Assassin,12.0,4.0,0.1
151,2014-01-14 00:00:00,Ahri,8.0,1.0,Preseason 4,3,4,5,8,Mage,Mana,Assassin,8.5,5.0,0.8
152,2014-01-21 00:00:00,Ahri,1.0,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,25.5,5.0,0.0
153,2014-01-28 00:00:00,Ahri,2.0,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,23.5,5.0,0.0
154,2014-02-04 00:00:00,Ahri,3.0,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,22.5,5.0,0.0
155,2014-02-11 00:00:00,Ahri,4.0,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,18.5,5.0,0.0
156,2014-02-18 00:00:00,Ahri,5.0,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,17.5,5.0,0.0
157,2014-02-25 00:00:00,Ahri,6.0,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,14.5,5.0,0.0
158,2014-03-04 00:00:00,Ahri,7.0,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,12.5,5.0,0.0
159,2014-03-11 00:00:00,Ahri,8.0,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,10.0,5.0,0.0
160,2014-03-18 00:00:00,Ahri,9.0,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,8.0,5.0,0.2
161,2014-03-25 00:00:00,Ahri,10.0,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,7.0,5.0,0.0
162,2014-04-01 00:00:00,Ahri,11.0,1.0,Season 4,3,4,5,8,Mage,Mana,Assassin,6.0,6.0,0.7
163,2014-04-08 00:00:00,Ahri,1.0,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,26.0,6.0,0.0
164,2014-04-15 00:00:00,Ahri,2.0,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,24.0,6.0,0.0
165,2014-04-22 00:00:00,Ahri,3.0,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,22.0,6.0,0.0
166,2014-04-29 00:00:00,Ahri,4.0,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,19.0,6.0,0.0
167,2014-05-06 00:00:00,Ahri,5.0,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,17.0,6.0,0.0
168,2014-05-13 00:00:00,Ahri,6.0,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,15.5,6.0,0.0
169,2014-05-20 00:00:00,Ahri,7.0,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,11.5,6.0,0.0
170,2014-05-27 00:00:00,Ahri,8.0,1.0,Season 4,3,4,5,8,Mage,Mana,Assassin,9.5,7.0,0.6
171,2014-06-01 00:00:00,Ahri,0.7142857142857143,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,27.0,7.0,0.0
172,2014-06-08 00:00:00,Ahri,1.7142857142857142,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,26.0,7.0,0.0
173,2014-06-15 00:00:00,Ahri,2.7142857142857144,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,24.0,7.0,0.0
174,2014-06-22 00:00:00,Ahri,3.7142857142857144,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,23.0,7.0,0.0
175,2014-06-29 00:00:00,Ahri,4.714285714285714,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,23.0,7.0,0.0
176,2014-07-06 00:00:00,Ahri,5.714285714285714,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,22.0,7.0,0.0
177,2014-07-13 00:00:00,Ahri,6.714285714285714,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,19.0,7.0,0.0
178,2014-07-20 00:00:00,Ahri,7.714285714285714,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,17.0,7.0,0.0
179,2014-07-27 00:00:00,Ahri,8.714285714285714,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,15.0,7.0,0.0
180,2014-08-03 00:00:00,Ahri,9.714285714285714,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,12.0,7.0,0.0
181,2014-08-10 00:00:00,Ahri,10.714285714285714,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,9.0,7.0,0.0
182,2014-08-17 00:00:00,Ahri,11.714285714285714,1.0,Season 4,3,4,5,8,Mage,Mana,Assassin,8.0,8.0,0.6
183,2014-08-24 00:00:00,Ahri,1.0,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,26.0,8.0,0.0
184,2014-09-01 00:00:00,Ahri,2.142857142857143,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,23.0,8.0,0.0
185,2014-09-08 00:00:00,Ahri,3.142857142857143,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,22.0,8.0,0.0
186,2014-09-15 00:00:00,Ahri,4.142857142857143,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,19.0,8.0,0.0
187,2014-09-22 00:00:00,Ahri,5.142857142857143,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,17.0,8.0,0.0
188,2014-09-29 00:00:00,Ahri,6.142857142857143,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,16.0,8.0,0.0
189,2014-10-06 00:00:00,Ahri,7.142857142857143,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,15.0,8.0,0.0
190,2014-10-13 00:00:00,Ahri,8.142857142857142,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,14.0,8.0,0.0
191,2014-10-20 00:00:00,Ahri,9.142857142857142,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,10.5,8.0,0.0
192,2014-10-27 00:00:00,Ahri,10.142857142857142,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,8.5,8.0,0.1
193,2014-11-04 00:00:00,Ahri,11.285714285714286,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,5.5,8.0,0.2
194,2014-11-11 00:00:00,Ahri,12.285714285714286,0.0,Season 4,3,4,5,8,Mage,Mana,Assassin,5.5,8.0,0.3
195,2014-11-18 00:00:00,Ahri,13.285714285714286,0.0,Preseason 5,3,4,5,8,Mage,Mana,Assassin,4.0,8.0,0.2
196,2014-11-25 00:00:00,Ahri,14.285714285714286,1.0,Preseason 5,3,4,5,8,Mage,Mana,Assassin,3.0,9.0,0.9
197,2014-12-02 00:00:00,Ahri,1.0,0.0,Preseason 5,3,4,5,8,Mage,Mana,Assassin,27.0,9.0,0.0
198,2014-12-09 00:00:00,Ahri,2.0,0.0,Preseason 5,3,4,5,8,Mage,Mana,Assassin,26.0,9.0,0.0
199,2014-12-16 00:00:00,Ahri,3.0,0.0,Preseason 5,3,4,5,8,Mage,Mana,Assassin,23.0,9.0,0.0
200,2014-12-23 00:00:00,Ahri,4.0,0.0,Preseason 5,3,4,5,8,Mage,Mana,Assassin,21.0,9.0,0.0
